datetime,workingday,weather,temp,humidity,windspeed,year,month,hour_x,hour_y
2011-07-13 22:00:00,1,1,27.88,83,12.998,2011,7,-0.5000000000000004,0.8660254037844384
2011-07-13 23:00:00,1,1,27.06,83,16.9979,2011,7,-0.25881904510252157,0.9659258262890681
2011-07-14 00:00:00,1,1,27.06,69,19.9995,2011,7,0.0,1.0
2011-07-14 01:00:00,1,1,27.06,61,16.9979,2011,7,0.25881904510252074,0.9659258262890683
2011-07-14 02:00:00,1,1,26.24,57,19.9995,2011,7,0.49999999999999994,0.8660254037844387
2011-07-14 03:00:00,1,1,25.42,57,19.9995,2011,7,0.7071067811865475,0.7071067811865476
2011-07-14 04:00:00,1,1,25.42,53,16.9979,2011,7,0.8660254037844386,0.5000000000000001
2011-07-14 05:00:00,1,1,24.6,56,15.0013,2011,7,0.9659258262890683,0.25881904510252074
2011-07-14 06:00:00,1,1,24.6,60,15.0013,2011,7,1.0,6.123233995736766e-17
2011-07-14 07:00:00,1,1,25.42,53,16.9979,2011,7,0.9659258262890683,-0.25881904510252063
2011-07-14 08:00:00,1,1,26.24,50,23.9994,2011,7,0.8660254037844387,-0.4999999999999998
2011-07-14 09:00:00,1,1,27.88,47,19.0012,2011,7,0.7071067811865476,-0.7071067811865475
2011-07-14 10:00:00,1,1,28.7,42,16.9979,2011,7,0.49999999999999994,-0.8660254037844387
2011-07-14 11:00:00,1,1,29.52,37,15.0013,2011,7,0.258819045102521,-0.9659258262890682
2011-07-14 12:00:00,1,1,30.34,35,16.9979,2011,7,1.2246467991473532e-16,-1.0
2011-07-14 13:00:00,1,1,31.16,33,22.0028,2011,7,-0.2588190451025208,-0.9659258262890683
2011-07-14 14:00:00,1,1,30.34,35,19.0012,2011,7,-0.4999999999999997,-0.8660254037844388
2011-07-14 15:00:00,1,1,31.16,33,19.9995,2011,7,-0.7071067811865471,-0.7071067811865479
2011-07-14 16:00:00,1,1,31.16,33,8.9981,2011,7,-0.8660254037844384,-0.5000000000000004
2011-07-14 17:00:00,1,1,30.34,37,8.9981,2011,7,-0.9659258262890683,-0.25881904510252063
2011-07-14 18:00:00,1,1,29.52,42,12.998,2011,7,-1.0,-1.8369701987210297e-16
2011-07-14 19:00:00,1,1,29.52,39,15.0013,2011,7,-0.9659258262890684,0.2588190451025203
2011-07-14 20:00:00,1,1,28.7,42,15.0013,2011,7,-0.8660254037844386,0.5000000000000001
2011-07-14 21:00:00,1,1,27.06,50,8.9981,2011,7,-0.7071067811865477,0.7071067811865474
2011-07-14 22:00:00,1,1,26.24,57,6.0032,2011,7,-0.5000000000000004,0.8660254037844384
2011-07-14 23:00:00,1,1,26.24,65,16.9979,2011,7,-0.25881904510252157,0.9659258262890681
2011-07-15 00:00:00,1,1,25.42,73,15.0013,2011,7,0.0,1.0
2011-07-15 01:00:00,1,1,25.42,73,12.998,2011,7,0.25881904510252074,0.9659258262890683
2011-07-15 02:00:00,1,1,24.6,78,11.0014,2011,7,0.49999999999999994,0.8660254037844387
2011-07-15 03:00:00,1,1,24.6,73,12.998,2011,7,0.7071067811865475,0.7071067811865476
2011-07-15 04:00:00,1,1,24.6,73,11.0014,2011,7,0.8660254037844386,0.5000000000000001
2011-07-15 05:00:00,1,1,24.6,73,8.9981,2011,7,0.9659258262890683,0.25881904510252074
2011-07-15 06:00:00,1,2,24.6,73,7.0015,2011,7,1.0,6.123233995736766e-17
2011-07-15 07:00:00,1,1,26.24,65,7.0015,2011,7,0.9659258262890683,-0.25881904510252063
2011-07-15 08:00:00,1,1,26.24,65,16.9979,2011,7,0.8660254037844387,-0.4999999999999998
2011-07-15 09:00:00,1,1,27.88,54,12.998,2011,7,0.7071067811865476,-0.7071067811865475
2011-07-15 10:00:00,1,2,27.06,61,11.0014,2011,7,0.49999999999999994,-0.8660254037844387
2011-07-15 11:00:00,1,1,28.7,54,8.9981,2011,7,0.258819045102521,-0.9659258262890682
2011-07-15 12:00:00,1,1,28.7,48,12.998,2011,7,1.2246467991473532e-16,-1.0
2011-07-15 13:00:00,1,1,28.7,54,12.998,2011,7,-0.2588190451025208,-0.9659258262890683
2011-07-15 14:00:00,1,1,28.7,51,12.998,2011,7,-0.4999999999999997,-0.8660254037844388
2011-07-15 15:00:00,1,1,29.52,45,11.0014,2011,7,-0.7071067811865471,-0.7071067811865479
